SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
18266,54,FATEHPUR BERI,279/337 IPC,08-Feb-18,DTC BUS,PED,AYA NAGAR BUS STOP,MINOR ROADS,2018
18344,54,FATEHPUR BERI,279/337 IPC,06-Feb-19,S/C&M/C,PED,OPP CHAUDHARY FARM HOUSE JONAP,MINOR ROADS,2019
18573,54,HAUZ KHAS,279/337 IPC,14-Feb-19,UNKNOWN,CAR,INF PANCHSHEEL PARK,OUTER RING ROAD,2019
18607,54,HAUZ KHAS,279/337 IPC,09-Feb-20,PVT CAR,POV,Y POINT HAUZ KHAS MAIN GATE,MINOR ROADS,2020
18959,54,LAJPAT NAGAR,279/337 IPC,05-Feb-17,PVT CAR,PED,INF SHOP NO 31 SHAGUN BUTIQUE,MINOR ROADS,2017
19046,54,LODHI COLONY,279/337 IPC,20-Apr-17,PVT CAR,PED,IHC GATE NO 3 LODHI COLONY,MINOR ROADS,2017
19098,54,LODHI COLONY,279/337 IPC,22-May-18,PVT CAR,TSR,JLNS RED LIGHT,BHISHM PITAMAH MARG,2018
19123,54,LODHI COLONY,279/337 IPC,03-Mar-19,UNKNOWN,PED,NR NDMC BARAT GHAR,MINOR ROADS,2019
19908,54,SAKET,279/337 IPC,03-Feb-17,UNKNOWN,TWW,NR LADO SARAI,MEHRAULI BADARPUR RD,2017
20030,54,SAKET,279/304 A IPC,04-Feb-19,GRM.SEW,PED,NR M BLK BUS STAND SAKET,MINOR ROADS,2019
20142,54,SAROJNI NAGAR,279/337 IPC,12-Mar-17,PVT CAR,TSR,INF M BLK SAROJINI NAGAR DELHI,AFRICA AVENUE,2017
20672,54,VASANT VIHAR,279/304 A IPC,22-Jan-17,S/C&M/C,PED,MUNIRKA FLYOVER TWD NEHRU PLAC,OUTER RING ROAD,2017
20889,54,AMAR COLONY,279/337 IPC,09-Feb-19,S/C&M/C,PED,NR KAILASH COLONY METRO STN,LAL BHADUR S.MARG,2019
20921,54,AMAR COLONY,279/337 IPC,21-Feb-20,PVT CAR,TWW,NR OKHLA SABZI MANDI BUS STOP,MINOR ROADS,2020
21123,54,BADAR PUR,279/304 A IPC,03-Mar-19,UNKNOWN,PED,AALI BADARPUR R/L,MATHURA ROAD,2019
21226,54,CHITRANJAN PARK,279/337 IPC,23-Jun-18,UNKNOWN,TWW,CHIRAG DELHI FLYOVER NEHRU PLA,OUTER RING ROAD,2018
21675,54,GOVIND PURI,279/337 IPC,13-Feb-18,S/C&M/C,PED,INF GALI NO 29 RD MG RAVIDAS M,RAVIDASS MARG,2018
22945,54,OKHLA,279/337 IPC,19-Feb-17,PVT CAR,PED,INFT DTC BUS DEPOT OKHALA,ANAND MAI MARG,2017
23341,54,PUL PRAHLAD PUR,279/304 A IPC,20-Feb-20,UNKNOWN,PED,NR KAYAMAYA HOSPITAL,MEHRAULI BADARPUR RD,2020
23440,54,SANGAM VIHAR,279/337 IPC,01-Feb-17,S/C&M/C,CYR,HAMDARD RED LIGHT SANGAM VIHAR,MEHRAULI BADARPUR RD,2017
24154,54,SUNLIGHT COLONY,279/337 IPC,10-Mar-20,UNKNOWN,TWW,NR YAMUNA BRIJ TWDS AKSHARDHAM,HAPUR BYPASS ROAD,2020
24272,54,BABA HARIDAS NAGAR,279/337 IPC,11-Apr-17,TEMPO,CAR,NR POLICE BOOTH SURAKHPUR RD,MINOR ROADS,2017
25057,54,KAPASHERA,279/337 IPC,22-Feb-16,UNKNOWN,PED,GOLAKDHAM MANDIR NR PETROL PUM,MINOR ROADS,2016
25483,54,NAJAFGARH,279/337 IPC,04-Mar-18,S/C&M/C,PED,METRO PILLER NO 55,NAJAF GARH ROAD,2018
26930,54,INDER PURI,279/338 IPC,21-Mar-16,S/C&M/C,TWW,VILL DASGHARA DADA MAIYA DWAR,DEV PARKASH SHASTRI ROAD,2016
27520,54,MAYA PURI,279/337 IPC,10-Mar-17,S/C&M/C,PED,OPP. MN GATE SALVAGE PARK,MINOR ROADS,2017
28603,54,NARAINA,279/304 A IPC,08-Apr-17,UNKNOWN,PED,UNDER NARAINA F/O NR MARUTI CE,MINOR ROADS,2017
28789,54,NIHAL VIHAR,279/304 A IPC,10-Feb-17,TEMPO,PED,PANNI GODAM QAMRUDDIN NGR,MINOR ROADS,2017
30164,54,RANJIT NAGAR,279/337/304 A IPC,28-Jan-16,S/C&M/C,PED,INF SHADIPUR BUS DEPOT R NAGAR,PATEL ROAD,2016
899,55,PAHAR GANJ,279/337 IPC,22-Feb-18,TEMPO,PED,SHOP NO 64 ANITHA STEEL,MANDIR MARG,2018
1760,55,DWARKA,279/337 IPC,19-Feb-18,PVT CAR,CAR,RED LIGHT SEC 9/19 DWARKA,MINOR ROADS,2018
1997,55,DWARKA NORTH,279/337 IPC,26-Feb-17,S/C&M/C,PED,DWARKA MORE NR NSIT DELHI,MINOR ROADS,2017
2221,55,DWARKA SOUTH,279/304 A IPC,28-Jan-16,UNKNOWN,TWW,INF HIND APPT. SEC-5 DWARKA,MINOR ROADS,2016
2776,55,VASANT KUNJ SOUTH,279/337 IPC,05-Feb-17,UNKNOWN,PED,NR HP PETROL PUMP MAHIPAL PURI,NH-8,2017
2843,55,ANAND VIHAR,279/337 IPC,29-Jan-16,PVT CAR,TWW,INF DA GOVT. QUARTER SHANTI VH,MINOR ROADS,2016
3596,55,JAGAT PURI,279/337 IPC,20-Feb-16,PVT CAR,PED,F BLOCK NR KARKARI MORE JAGATP,57 NO ROAD,2016
3616,55,JAGAT PURI,279/337 IPC,08-Feb-17,S/C&M/C,CYR,JAGATPURI RED LIGHT F BLK JAGA,57 NO ROAD,2017
4043,55,LAXMI NAGAR (SHAKAR PUR),279/337 IPC,03-Feb-18,PVT CAR,TWW,VIKAS MARG RED LIGHT MKT LAXMI,VIKAS MARG,2018
4344,55,MANDAWLI,279/337 IPC,03-Feb-16,UNKNOWN,TWW,INF AKD TEMPLE FLYOVER NOIDA T,MINOR ROADS,2016
4702,55,NEW ASHOK NAGAR,279/337/338 IPC,05-Feb-18,TAXI,TWW,NR HOTEL RED FOX,MINOR ROADS,2018
5123,55,PREET VIHAR,279/338 IPC,04-Feb-17,PVT CAR,TWW,KARKARI MOD ERED LIGHT DELHI,VIKAS MARG,2017
5634,55,CHANAKYA PURI,279/337 IPC,18-May-19,PVT CAR,DTC,OPP KOTI NO-2 TEEN MURTI MARG,SARDAR PATEL MARG,2019
5671,55,CHANAKYA PURI,279/337 IPC,14-Jul-20,PVT CAR,TWW,NEAR NALA 11 MURTI,SARDAR PATEL MARG,2020
6073,55,PARLIAMENT STREET,279/337 IPC,24-Mar-16,PVT CAR,TWW,JANPATH RAJPATH RD XING RED LI,RAJPATH,2016
6470,55,TUGLAK ROAD,279/304 A IPC,23-May-18,UNKNOWN,TWW,NR H NO. 25B P R ROAD,PRITHIVI RAJ ROAD,2018
6496,55,TUGLAK ROAD,279/337/304 A IPC,02-Aug-20,TEMPO,TWW,TUGLAK LINE CROSSING,TUGLAK ROAD,2020
6510,55,BARA HINDU RAO,279/337 IPC,12-Jun-17,DELIVRY,TWW,AZAD MARKET CHOWK,RANI JHANSI ROAD,2017
7456,55,KOTWALI,279/337 IPC,24-Jan-20,UNKNOWN,PED,NR GEETA COLONY FLYOVER,RING ROAD BYPASS,2020
7652,55,MAURICE NAGAR,279/304 A IPC,26-Aug-19,TSR,CYC,INF DU NR BUS STAND TEACHERS F,MINOR ROADS,2019
8585,55,GOKAL PURI,279/337 IPC,29-Jan-18,DTC BUS,TSR,INF BHAJANPURA P PMP,WAZIRABAD ROAD,2018
10511,55,SHASTRI PARK,279/304 A IPC,02-Feb-19,UNKNOWN,PED,RED LIGHT SHASTRI PASK ISBT SI,GRANT TRUNK ROAD,2019
10682,55,SONIA VIHAR,279/304 A IPC,02-Mar-18,PVT CAR,TWW,5TH PUSTA SONIA VIHAR,PUSTA ROAD,2018
10894,55,ADARSH NAGAR,279/337 IPC,25-Jan-16,S/C&M/C,PED,INF DELHI POLICE OFF FLATS TWS,MINOR ROADS,2016
10941,55,ADARSH NAGAR,279/337 IPC,31-Jan-17,S/C&M/C,CYC,RD NO 51 NR MAJLISH PARK METRO,MINOR ROADS,2017
11819,55,BHALASWA DAIRY,279/337 IPC,08-Feb-19,PVT CAR,TWW,INF GURUDWARA RD PRIMARY SCHOO,MINOR ROADS,2019
13006,55,MAHENDRA PARK,279/304 A IPC,08-Feb-19,UNKNOWN,PED,INDUSTRIAL AREA GTK,GTK ROAD,2019
14187,55,SARASWATI VIHAR(SUBHASH PLACE),279/338 IPC,09-Feb-17,UNKNOWN,TWW,BRITANIA CHOWK,RING ROAD,2017
15065,55,BAWANA,279/304 A IPC,10-Feb-17,HTV/GDS,PED,M V HOSPITAL POOTH KHURD NEW D,MINOR ROADS,2017
15439,55,BEGUM PUR,279/337 IPC,15-Jan-16,UNKNOWN,TSR, JAIN NAGAR BUS STAND RAMA VIH,KANJHAWALA ROAD,2016
16616,55,PRASHANT VIHAR,279/337 IPC,04-Feb-17,PVT CAR,PED,INF CROMA SHOWROOM SEC-10 ROHI,41 NO ROAD,2017
16786,55,RANI BAGH,279/304 A IPC,23-Feb-18,UNKNOWN,PED,DTC BUS STAND SARSATI VIHAR OU,OUTER RING ROAD,2018
16830,55,RANI BAGH,279/337 IPC,04-Feb-19,TRL/CON,HTV,NEAR DEEPALI CHOWK,OUTER RING ROAD,2019
17986,55,DHAULA KUAN(SOUTH CAMPUS),279/337 IPC,04-Feb-16,PVT CAR,TWW,RED LIGHT NR SEC-12 NEW DELHI,RAO TULA RAM MARG,2016
18927,55,KOTLA MUBARAK PUR,279/337 IPC,04-Mar-20,UNKNOWN,TSR,TWDS AIIMS INF SEWA NAGAR,MINOR ROADS,2020
19047,55,LODHI COLONY,279/337 IPC,20-Apr-17,UNKNOWN,PED,NR JOR BAGH METRO STATION ARVI,AUROBINDO MARG,2017
19124,55,LODHI COLONY,279/337 IPC,04-Mar-19,HTV/GDS,TSR,LODHI COLONY RED LIGHT,LODI ROAD,2019
19597,55,R.K. PURAM,279/304 A IPC,01-Mar-17,PVT CAR,TWW,OPP CRPF GATE SEC-6 R K PURAM,MINOR ROADS,2017
20143,55,SAROJNI NAGAR,279/337 IPC,13-Mar-17,TAXI,SLF,VINAYAK MANDIR MARG BUS STAND,MINOR ROADS,2017
20673,55,VASANT VIHAR,279/304 A IPC,23-Jan-17,PVT CAR,CAR,NEAR IIT GATE,OUTER RING ROAD,2017
20739,55,VASANT VIHAR,279/337 IPC,14-Feb-18,UNKNOWN,TWW,NR BABA GANG NATH MANDIR MUNIR,NELSON MANDELA MARG,2018
21266,55,CHITRANJAN PARK,279/337 IPC,15-Apr-19,TAXI,TWW,NR M-87 GK-2 CHOWK,MINOR ROADS,2019
21517,55,DR AMBEDKAR NAGAR,279/337 IPC,19-Jan-20,UNKNOWN,TWW,G BLOCK DAKSHINPURI RED LIGHT,MEHRAULI BADARPUR RD,2020
21676,55,GOVIND PURI,279/304 A IPC,13-Feb-18,UNKNOWN,PED,RED LIGHT TARA APARTMENT,RAVIDASS MARG,2018
22293,55,KALINDI KUNJ,279/337 IPC,05-Mar-20,S/C&M/C,TWW,NR NARULA FARM HOUSE MADANPUR,MINOR ROADS,2020
23105,55,OKHLA,279/337 IPC,19-Feb-19,PVT CAR,PED,NR LAL CHOWK C BLOCK,ANAND MAI MARG,2019
23189,55,PUL PRAHLAD PUR,279/337 IPC,10-Mar-16,S/C&M/C,PED,LAL KUAN ICD OUT GATE MB ROAD,MEHRAULI BADARPUR RD,2016
23227,55,PUL PRAHLAD PUR,279/337 IPC,13-Mar-17,PVT CAR,PED,SURAJ KUND XING NR POICE STATI,MEHRAULI BADARPUR RD,2017
23844,55,SARITA VIHAR,279/338 IPC,26-Feb-20,UNKNOWN,PED,MATHURA OKHLA TANK BUS STOP,MATHURA ROAD,2020
24030,55,SUNLIGHT COLONY,279/337 IPC,08-Feb-18,S/C&M/C,TWW,ASHRAM FLYVOER RING ROAD,RING ROAD,2018
24092,55,SUNLIGHT COLONY,279/337 IPC,21-Feb-19,TAXI,TWW,NR MILEMIUM DEPOT,NH-24,2019
24155,55,SUNLIGHT COLONY,279/337 IPC,11-Mar-20,UNKNOWN,TWW,NR ABOUT ASHRAM CHWOK,MATHURA ROAD,2020
24313,55,BABA HARIDAS NAGAR,279/337 IPC,17-Mar-18,CRANE,CAR,DICHAAOON TO NEELWAL ROAD,MINOR ROADS,2018
24365,55,BABA HARIDAS NAGAR,279/304 A IPC,01-Feb-19,UNKNOWN,TWW,JAI VIHAR BUS STAND NANGLOI RD,NAJAF GARH ROAD,2019
25444,55,NAJAFGARH,279/337 IPC,08-Mar-17,S/C&M/C,TWW,NANGLI DAIRY GANDA NALA NR PEE,MINOR ROADS,2017
25684,55,TILAK NAGAR,279/337 IPC,08-Feb-18,UNKNOWN,TWW,NR PILLER NO.552/553 EAST J PU,MINOR ROADS,2018
25816,55,UTTAM NAGAR,279/337 IPC,29-Jan-17,UNKNOWN,PED,METRO PIL NO 788 UTAM NAGAR,NAJAF GARH ROAD,2017
26715,55,DELHI CANNT,279/337 IPC,09-Feb-19,S/C&M/C,CYR,DHAULAKUAN TOWDS NARAINA  U/PS,RING ROAD,2019
27431,55,KIRTI NAGAR,279/337 IPC,11-Feb-19,TEMPO,CYC,NEAR NDPL OFFICE,MINOR ROADS,2019
27660,55,MIANWALI,279/337 IPC,02-Mar-18,S/C&M/C,ERC,BHERA ENCLAE UNER PASS,OUTER RING ROAD,2018
27698,55,MIANWALI,279/337 IPC,22-Jan-16,PVT CAR,TWW,NR MEERA BAGH PASCHIM VIHAR DE,OUTER RING ROAD,2016
28284,55,MUNDKA,279/337 IPC,09-Feb-20,PVT CAR,TWW,BHARAT P PUMP,ROHTAK ROAD,2020
28641,55,NARAINA,279/304 A IPC,07-Mar-18,UNKNOWN,TAX,PILLER NO 2 NR METRO STN,RING ROAD,2018
29112,55,PASCHIM VIHAR (EAST),279/304 A IPC,01-Feb-19,DTC BUS,PED,"BHAIRAV ENCLAVE,  TWDS PEERAGA",OUTER RING ROAD,2019
30002,55,RAJOURI GARDEN,279/338 IPC,16-Jan-20,UNKNOWN,TWW,SINE MARBLE RAJA GARDEN,RING ROAD,2020
30219,55,RANJIT NAGAR,279/304 A IPC,11-Feb-18,MIN.BUS,TWW,INF OF SATYAPARK,NARAINA ROAD,2018
29,56,DARYA GANJ,279/337 IPC,31-Jan-16,PVT CAR,TWW,RING RD RAJGHAT CHOWK DELHI,RING ROAD,2016
318,56,DESH BANDHU GUPTA RD,279/337 IPC,27-Feb-18,UNKNOWN,PED,LEKSHMI NARAYAN MANDIR,FAIZ ROAD,2018
1404,56,DELHI CANNT,279/304 A IPC,09-Feb-19,PVT CAR,CYC,PALAM FLYOVER DELHI,201 NO.ROAD,2019
1814,56,DWARKA,279/338 IPC,27-Jan-19,UNKNOWN,TWW,"R/L GOYLA DAIRY, BSES P.NO 81",MINOR ROADS,2019
1998,56,DWARKA NORTH,279/304 A IPC,27-Feb-17,PVT CAR,PED,RAJAPURI RED LIT SE PAHLE NEW,MINOR ROADS,2017
2056,56,DWARKA NORTH,279/337 IPC,23-Feb-18,PVT CAR,PED,NR UPKARI APARTMENT SEC 12 DWA,MINOR ROADS,2018
2168,56,DWARKA NORTH,279/337 IPC,16-Jan-20,S/C&M/C,PED,NEAR MATIALA XING SEC3 DWKA,201 NO.ROAD,2020
2684,56,VASANT KUNJ NORTH,279/337 IPC,19-Jan-16,MIN.BUS,PED,BUS STAND MAHIPAL PUR DELHI,NH-8,2016
2896,56,ANAND VIHAR,279/337 IPC,07-Feb-17,TEMPO,TWW,NR KAVENTERS MKT SURAJMAL VIHA,MINOR ROADS,2017
3261,56,GAJI PUR,279/304 A IPC,22-Feb-19,UNKNOWN,PED,NR RED LIGHT MAYUR VIHAR II,YAMUNA PUSTA ROAD,2019
3381,56,GAJI PUR,279/337 IPC,19-Feb-18,UNKNOWN,PED,INF TATA MOTORS GAZIPUR,ROAD NO 56,2018
3462,56,GEETA COLONY,279/337 IPC,10-Feb-16,PVT CAR,TWW,TAJ ENCLAVE ROAD GEETA COLONY,MINOR ROADS,2016
3503,56,GEETA COLONY,279/338 IPC,04-Feb-17,UNKNOWN,PED,17/23 GEETA COLONY DELHI,MINOR ROADS,2017
4044,56,LAXMI NAGAR (SHAKAR PUR),279/337 IPC,03-Feb-18,UNKNOWN,TWW,NR TIOLET LAXMI NAGAR TO ITO V,VIKAS MARG,2018
4303,56,MADHU VIHAR,279/337 IPC,15-Feb-17,BUS O S,PAS,INDIAN OIL PETROL PUMP INF ANA,MINOR ROADS,2017
4466,56,MAYUR VIHAR,279/337/304 A IPC,18-Feb-17,TEMPO,SLF,NOIDA LINK RD NR METRO STATION,YAMUNA PUSTA ROAD,2017
5563,56,CHANAKYA PURI,279/338 IPC,01-Jun-17,PVT CAR,PED,NR CANADA EMBASSY CHANAKYA PUR,MINOR ROADS,2017
5672,56,CHANAKYA PURI,279/337 IPC,16-Jul-20,PVT CAR,CYC,INF OF RUSSION EMBASY SANTIPAT,SHANTIPATH,2020
5816,56,HAZRAT NIZAMUDDIN,279/304 A IPC,23-Feb-18,UNKNOWN,TWW,NEAR SUNDER NAGAR,MINOR ROADS,2018
5882,56,MANDIR MARG,279/304 A IPC,29-Jun-18,PVT CAR,PED,MANDIR LANE NEW DELHI,MINOR ROADS,2018
5923,56,MANDIR MARG,279/337/304 A IPC,14-Jun-20,UNKNOWN,TWW,GOLE DAK KHANA GOLE CHAKKAR,BABA KHARAK SINGH MG,2020
5969,56,NORTH AVENUE,279/337 IPC,05-Jul-17,PVT CAR,TWW,GATE NO 3 RML HOSPITAL,BARAKHAMBA ROAD,2017
6074,56,PARLIAMENT STREET,279/337 IPC,25-Mar-16,PVT CAR,TWW,RAJPATH JANPATH RED LIGHT DELH,RAJPATH,2016
6416,56,TUGLAK ROAD,279/337 IPC,07-Jun-16,PVT CAR,PED,INF KOTHI NO 4 PR ROAD NR JAMM,PRITHIVI RAJ ROAD,2016
6726,56,CIVIL LINES,279/304 A IPC,19-Mar-19,UNKNOWN,CYR,PRAMANAND HOPITAL NR BPP PUMP,SHYAM NATH MARG,2019
7108,56,KASHMIRI GATE,279/338 IPC,25-Feb-19,UNKNOWN,TWW,FLYOVER ISBT,BULOVARD ROAD,2019
7156,56,KASHMIRI GATE,279/337 IPC,17-Mar-20,GRM.SEW,PED,NR METRO GATE NO 4 NITYANAND M,MINOR ROADS,2020
7544,56,LAHORI GATE,279/304 A IPC,05-Mar-20,UNKNOWN,PED,INF NDMC PARKING,SPM MARG,2020
7673,56,MAURICE NAGAR,279/337 IPC,09-Aug-20,PVT CAR,PED,BUS STAND KHALSA COLL,MINOR ROADS,2020
8140,56,TIMAR PUR,279/337 IPC,24-Jan-16,UNKNOWN,PED,RED LIGHT TIMARPUR DELHI,OUTER RING ROAD,2016
8681,56,GTB ENCLAVE,279/337 IPC,27-Jan-16,TRACTOR,TWW,INF GATE NO. 5 GTB HOSPITAL DE,MINOR ROADS,2016
9677,56,NAND NAGRI,279/304 A IPC,09-Feb-20,UNKNOWN,PED,NAND NAGRI DEPOTT,MINOR ROADS,2020
10420,56,SHAHDARA,279/337 IPC,10-Feb-18,UNKNOWN,PED,INF HANUMAN MANDIR SHAHDARA,GRANT TRUNK ROAD,2018
10512,56,SHASTRI PARK,279/337 IPC,03-Feb-19,UNKNOWN,PED,5TH PUSTA RED LIGHT,PUSTA ROAD,2019
13829,56,RANI BAGH,279/337 IPC,26-Jan-16,PVT CAR,TWW,RANI BAGH SHAKUR BASTI RAILWAY,43 NO ROAD,2016
14028,56,SAMAY PUR BADLI,279/337 IPC,19-Jan-18,UNKNOWN,PED,INF ASHOK FLYAND SHOWROOM,GTK ROAD,2018
14275,56,SARASWATI VIHAR(SUBHASH PLACE),279/337/304 A IPC,01-Mar-19,UNKNOWN,PED,UNDER NSP FLYOVER,RING ROAD,2019
15122,56,BAWANA,279/304 A IPC,03-Feb-18,TSR,PED,NR POOTH KHURD HOSPITAL BAWANA,BAWANA ROAD,2018
15171,56,BAWANA,279/337 IPC,14-Feb-19,UNKNOWN,CYR,NR BHARAT PETROL PUMP BAWANAPO,BADLI ROAD,2019
15768,56,KANJHAWALA,279/337 IPC,05-Feb-17,HTV/GDS,TWW,NR PETROL PUMP,MINOR ROADS,2017
15820,56,KANJHAWALA,279/337 IPC,17-Feb-18,PVT CAR,TWW,NR PETROL PUMP KANJHAWLA,MINOR ROADS,2018
15900,56,KANJHAWALA,279/337 IPC,11-Feb-20,UNKNOWN,TWW,NR AKASH DHARMA KANTA,KANJHAWALA ROAD,2020
16012,56,MANGOL PURI,279/304 A IPC,15-Jan-17,HTV/GDS,TWW,INF DURGA JWELLERS S BLK MANG,MINOR ROADS,2017
16081,56,MANGOL PURI,279/337 IPC,23-Jan-18,UNKNOWN,PED,NR PPL RED LIGHT MANGOL PURI,OUTER RING ROAD,2018
17349,56,SHAHBAD DAIRY,279/304 A IPC,29-Jan-18,UNKNOWN,PED,KHERA KHURD DELHI,MINOR ROADS,2018
17467,56,SHAHBAD DAIRY,279/304 A IPC,04-Feb-20,UNKNOWN,TWW,BAWANA NAHAR TO R/L BAWANA,MINOR ROADS,2020
17756,56,SULTAN PURI,279/304 A IPC,27-Jan-18,PVT CAR,PED,P-1 BLOCK NR SHIV MANDIR GALI,MINOR ROADS,2018
18267,56,FATEHPUR BERI,279/304 A IPC,10-Feb-18,UNKNOWN,TWW,NR MARBLE CITY CHANDNHULLA,MINOR ROADS,2018
18385,56,FATEHPUR BERI,279/337 IPC,22-Feb-20,MIN.BUS,PAS,INF MOHINI FARM BANDH RD NR 7T,MINOR ROADS,2020
18574,56,HAUZ KHAS,279/304 A IPC,17-Feb-19,UNKNOWN,TWW,NR KAMLA NEHRU COLLEGE,AUROBINDO MARG,2019
19794,56,SAFDARJUNG ENCLAVE,279/337 IPC,10-Mar-18,HTV/GDS,DLV,RAJ NAGAR F/O,RING ROAD,2018
20066,56,SAKET,279/337/338 IPC,16-Feb-20,PVT CAR,TWW,KHOKHA MARKET RED LIGHT,MINOR ROADS,2020
20922,56,AMAR COLONY,279/337 IPC,23-Feb-20,UNKNOWN,PED,RED LIGHT GARHI CAPTAIN GAUR M,MINOR ROADS,2020
21233,56,CHITRANJAN PARK,279/337 IPC,28-Feb-16,PVT CAR,PED,INF GATE NO 2 DON BOSCO SCHOOL,MINOR ROADS,2016
22625,56,LAJPAT NAGAR,279/337 IPC,28-Jan-20,UNKNOWN,PED,NEHRU NGR BUS STOP PGDAV COLLE,RING ROAD,2020
22697,56,NEW FRIENDS COLONY,279/337 IPC,13-Feb-16,S/C&M/C,DTC,MATHURA RD TWRS ASHRAM NR,MATHURA ROAD,2016
23106,56,OKHLA,279/338 IPC,20-Feb-19,PVT CAR,CYC,NR D BLOCK OKHLA,MINOR ROADS,2019
23274,56,PUL PRAHLAD PUR,279/337 IPC,05-Mar-18,BUS OTR,TWW,NR ICD OUT GATE,MEHRAULI BADARPUR RD,2018
24093,56,SUNLIGHT COLONY,279/337 IPC,22-Feb-19,PVT CAR,POV,NR BALA SAHIB GURUDWARA,RING ROAD,2019
24967,56,JAFFAR PUR,279/337 IPC,16-Apr-18,UNKNOWN,CAR,INF HANUMAN DHARM KANTA DHANSA,DANSHA ROAD,2018
24998,56,JAFFAR PUR,279/304 A IPC,16-Apr-19,S/C&M/C,SLF,RAWTA MOR TO MUNDHELA ROAD,MINOR ROADS,2019
25647,56,TILAK NAGAR,279/337 IPC,01-Feb-17,S/C&M/C,PED,INF MALIWALA PARK PEER BABA SI,MINOR ROADS,2017
27375,56,KIRTI NAGAR,279/337 IPC,09-Feb-17,DTC BUS,PAS,KRISHNA PARK BUS STAND KIRTI N,RAMA ROAD,2017
27459,56,MAYA PURI,279/304 A IPC,19-Apr-18,TEMPO,DTC,D BLOCK JANAKPURI,MINOR ROADS,2018
27521,56,MAYA PURI,279/337 IPC,12-Mar-17,DELIVRY,PED,LAJWANTI GARDEN BUS STAND,MINOR ROADS,2017
27661,56,MIANWALI,279/337 IPC,02-Mar-18,PVT CAR,TSR,NR RADISSON HOTEL,OUTER RING ROAD,2018
28035,56,MUNDKA,279/337 IPC,24-Feb-17,PVT CAR,TMP,NR METRO PILLOR NO 729 NEW DLE,ROHTAK ROAD,2017
28285,56,MUNDKA,279/337 IPC,10-Feb-20,PVT CAR,PED,METRO PILAR NO. 700,ROHTAK ROAD,2020
29601,56,PUNJABI BAGH,279/337 IPC,26-Jan-19,UNKNOWN,PED,WINE SHOP PASHIM VIHAR,MINOR ROADS,2019
135,57,DARYA GANJ,279/304 A IPC,22-Feb-18,UNKNOWN,PED,NR BUS STOP RAJGHAT,RING ROAD,2018
666,57,KAMLA MARKET,279/337 IPC,10-Feb-18,DTC BUS,PED,AJMERI GATE PAHARGANJ KAMLA,MINOR ROADS,2018
823,57,NABI KARIM,279/337 IPC,03-Mar-17,PVT CAR,PED,INFT OF POLICE CHOWKI,QUTAB ROAD,2017
968,57,PRASHAD NAGAR,279/337 IPC,11-Mar-17,PVT CAR,PED,NR BLK EMERGENCY GTE RAJENDER,SOHAN LAL ROAD,2017
988,57,PRASHAD NAGAR,279/338 IPC,26-Feb-19,UNKNOWN,TWW,T-POINT NR RAJENDER NAGAR METR,PUSA ROAD,2019
1506,57,DELHI CANNT,279/337 IPC,04-Mar-20,MILITRY,TWW,NR KRIBI PLACE RED LIGHT,STATION ROAD,2020
1654,57,DWARKA,279/338 IPC,18-Feb-16,TEMPO,TAX,JANKI CHOWK SE-23 DWARKA DELHI,MINOR ROADS,2016
1922,57,DWARKA NORTH,279/337 IPC,29-Jan-16,TEMPO,SLF,SEC18B PLATINUM HIGHT APPT.,MINOR ROADS,2016
3355,57,GAJI PUR,279/337 IPC,19-Feb-17,PVT CAR,CYR,INFT OF WINE SHOP,MINOR ROADS,2017
3418,57,GANDHI NAGAR,279/337 IPC,13-Feb-17,TEMPO,TWW,NR TIKONA PARKLOHA PUL DELHI,YAMUNA PUSTA ROAD,2017
3642,57,JAGAT PURI,279/304 A IPC,17-Mar-18,TEMPO,PED,OPP BUS STAND A BLOCK JAGATPUR,ROAD NO 57,2018
3730,57,KALYAN PURI,279/337 IPC,25-Feb-17,PVT CAR,CAR,OPP EAST VINOD NAGAR NEW DELHI,NH-24,2017
4103,57,LAXMI NAGAR (SHAKAR PUR),279/337 IPC,02-Feb-20,PVT CAR,PED,NEAR GURUDWARA RAMESH PARK,YAMUNA PUSTA ROAD,2020
4237,57,MADHU VIHAR,279/337 IPC,29-Mar-19,PVT CAR,TWW,NR CNG PUMP VIKAS PUBLIC SCHOO,VIKAS MARG,2019
4323,57,MADHU VIHAR,279/337 IPC,25-Feb-18,PVT CAR,PED,ANAND VIHAR FLYOVER,ROAD NO 56,2018
4960,57,PANDAV NAGAR,279/304 A IPC,09-Feb-19,UNKNOWN,TWW,MAYUR VIHAR 1 FLYOVER NR SHIV,MINOR ROADS,2019
5461,57,BARAKHAMBA ROAD,279/337 IPC,06-Apr-16,DTC BUS,PED,OPP BIRLA TOWER BK ROAD NEW DE,MINOR ROADS,2016
5564,57,CHANAKYA PURI,279/304 A IPC,03-Jun-17,PVT CAR,PED,OPP PS CHANAKYA PURI TEEN MURT,TEEN MURTI MARG,2017
5993,57,NORTH AVENUE,279/337 IPC,10-Dec-18,S/C&M/C,PED,RML HOSPITAL GATE NO 9,MINOR ROADS,2018
6131,57,PARLIAMENT STREET,279/337 IPC,09-Jun-19,PVT CAR,CAR,RAJPATH JANPAT CROSSING,RAJPATH,2019
