SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
134,54,DARYA GANJ,279/337 IPC,16-Feb-18,UNKNOWN,TWW,NR SABLOK CLINIC DARYA GANJ,N.SUBHASH MARG,2018
177,54,DARYA GANJ,279/337 IPC,10-Mar-19,PVT CAR,TSR,NR DELHI GATE RED LIGHT,JAWAR LAL NEHRU RD,2019
295,54,DESH BANDHU GUPTA RD,279/337 IPC,01-Mar-17,PVT CAR,PED,NR LIBERTY CINEMA GOAL CHAKKAR,MINOR ROADS,2017
362,54,DESH BANDHU GUPTA RD,279/337 IPC,16-Mar-20,PVT CAR,PED,INF PS DBG ROAD NR RED LIGHT,DESH BANDU GUPTA RD,2020
471,54,I.P. ESTATE,279/337 IPC,23-Feb-17,PVT CAR,TWW,NR GATE NO 22 IG STADIUM NEW D,RING ROAD,2017
4042,54,LAXMI NAGAR (SHAKAR PUR),279/304 A IPC,02-Feb-18,UNKNOWN,PED,LAXMI NAGAR RED LIGHT MOTHER D,VIKAS MARG,2018
5057,54,PATPARGANJ IND. AREA,279/337 IPC,04-Mar-20,UNKNOWN,PED,BEHIND EDM MALL,MINOR ROADS,2020
5520,54,CHANAKYA PURI,279/304 A IPC,13-Mar-16,UNKNOWN,TWW,INF MANIPUR BHAWAN TWS 11 MURT,SARDAR PATEL MARG,2016
5562,54,CHANAKYA PURI,279/338 IPC,24-May-17,PVT CAR,PED,NR CNG PUMP SAN MARTIN MARG,SAN MARTIN MARG,2017
5596,54,CHANAKYA PURI,279/337 IPC,01-Jul-18,PVT CAR,TWW,NITI MARG NEAR ASHOK HOTEL,NITI MARG,2018
5703,54,CONNAUGHT PLACE,279/337 IPC,10-Feb-16,PVT CAR,TWW,INNER CIRCLE NR GATE NO.6,INNER CIRCLE CP,2016
6004,54,NORTH AVENUE,279/337 IPC,13-Dec-19,TSR,CYC,NR GATE NO 2 RML HOSPITAL,BABA KHARAK SINGH MG,2019
6065,54,PARLIAMENT STREET,279/337 IPC,14-May-18,TAXI,TWW,RAFI MARG,RAFI MARG,2018
6317,54,TILAK MARG,279 IPC,28-Apr-18,PVT CAR,CAR,RED LIGHT TILAK MARG BHAGWAN,BHAGWAN DAS MARG,2018
6406,54,TUGLAK ROAD,279/304 A IPC,20-Aug-19,CTR BUS,TWW,T POINT HUMAYU ROAD SHAHJAH RD,SHAHJAHAN ROAD,2019
6614,54,CIVIL LINES,279/337 IPC,22-Feb-17,PVT CAR,PED,RED LGHT IP COLLEGE DELHI,SHYAM NATH MARG,2017
6886,54,GULABI BAGH,279/337 IPC,02-Jun-18,UNKNOWN,PED,JAL BOARD OFFICE PRATAP NAGAR,ROAD NO 40,2018
7195,54,KASHMIRI GATE,279/337 IPC,20-Feb-17,PVT CAR,TWW,FLYOVER INF HANUMAN TEMPLE,RING ROAD,2017
7355,54,KOTWALI,279/337 IPC,14-Feb-18,PVT CAR,TWW,RING RD BEHIND RE FORT,RING ROAD,2018
7404,54,KOTWALI,279/337 IPC,22-Feb-19,ERCAW,PED,INF KRISHNA MKT GANDHI CHOWK,CHANDNI CHOWK ROAD,2019
7555,54,MAURICE NAGAR,279/304 A IPC,21-Feb-16,BUS OTR,TSR,INF GATE PG MENTS HOSTEL UNIVE,MINOR ROADS,2016
7629,54,MAURICE NAGAR,279/337 IPC,26-Apr-18,UNKNOWN,PED,R/A ROOP NAGAR P S,SATYAWATI ROAD,2018
7682,54,ROOP NAGAR,279/337 IPC,25-Jan-16,S/C&M/C,PED,SAKTI NAGAR ROAD A6 KAMLA NGR,SATYAWATI ROAD,2016
7762,54,SABZI MANDI,279/337 IPC,08-Feb-16,PVT CAR,CAR,NEAR LAL KOTHI SUBJI MANDI DEL,ROSHANARA ROAD,2016
8314,54,TIMAR PUR,279/337 IPC,10-Apr-19,PVT CAR,TWW,INF TIBBATIAN COL.MAJNU KA TIL,OUTER RING ROAD,2019
9450,54,NAND NAGRI,279/337 IPC,17-Jan-16,S/C&M/C,PED,NR MANDOLI FLYOVER NAND NAGRI,WAZIRABAD ROAD,2016
10419,54,SHAHDARA,279/337/304 A IPC,09-Feb-18,S/C&M/C,TWW,SHIVAJI PARK POST OFFICE WALI,MINOR ROADS,2018
10998,54,ADARSH NAGAR,279/304 A IPC,23-Feb-18,PVT CAR,PED,NR KEWAL PAKR RED LIGHT KEWAL,MINOR ROADS,2018
11906,54,BHARAT NAGAR,279/337 IPC,06-Feb-17,PVT CAR,TSR,KAKA JI LANE NR CRICKET ACADME,MINOR ROADS,2017
12197,54,BURARI,279/337 IPC,30-Jan-18,S/C&M/C,PED,INF GANDHI VIHAR ZEBRA CROSSIN,OUTER RING ROAD,2018
13156,54,MODEL TOWN,279/337 IPC,07-Feb-17,PVT CAR,TSR,ANNAPURNA GIRLS HOSTEL GUDMAND,MINOR ROADS,2017
13708,54,NARELA (OLD IND. AREA),279/337 IPC,27-Jan-18,TEMPO,TRC,LAHPUR VILLAGE,MINOR ROADS,2018
13827,54,PASCHIM VIHAR (WEST),279/337 IPC,07-Feb-19,HTV/GDS,TNK,NR  INDER ENCLAVE R/L,ROHTAK ROAD,2019
16080,54,MANGOL PURI,279/337 IPC,22-Jan-18,BUS OTR,PAS,S BLOCK BUS STOP NR SGMH MANGO,MINOR ROADS,2018
16615,54,PRASHANT VIHAR,279/304 A IPC,04-Feb-17,UNKNOWN,TWW,T POINT JAPANI PARK SUVIDHA KU,MINOR ROADS,2017
17558,54,SHALIMAR BAGH,279/337 IPC,20-Feb-17,PVT CAR,TSR,ALIVATED RD OPP METRO STATION,OUTER RING ROAD,2017
17984,54,DEFENCE COLONY,279/304 A IPC,14-Mar-19,DTC BUS,TWW,RED LIGHT KAMLA NEHRU COLAGE,MINOR ROADS,2019
18198,54,FATEHPUR BERI,279/337 IPC,31-Jan-17,TEMPO,PED,LAXMI PANEER BHANDAR ASOLA FT,MINOR ROADS,2017
