Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
05-Sep-22,01:42 PM,2461,1580,"Car - Van, Passenger",Pedestrian,DL 1YE 1400,,,,,,,,,,,
05-Sep-22,01:42 PM,2462,1581,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2463,1582,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2464,1583,MTW - Scooter/Moped,Two-Axle Medium Commercial Vehicle,DL 4SCC 3193,,,,,,,,,,,
05-Sep-22,01:42 PM,2465,1583,Two-Axle Medium Commercial Vehicle,MTW - Scooter/Moped,DL 1LR 8834,,,,,,,,,,,
05-Sep-22,01:42 PM,2466,1584,MTW - Scooter/Moped,"Car - SUV, Passenger",DL 11SK 7461,,,,,,,,,,,
05-Sep-22,01:42 PM,2467,1584,"Car - SUV, Passenger",MTW - Scooter/Moped,DL 12CN 4752,,,,,,,,,,,
05-Sep-22,01:42 PM,2468,1585,MTW - Motorcycle Light,Unknown,DL  6SBA 3667,,,,,,,,,,,
05-Sep-22,01:42 PM,2469,1585,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2470,1586,MTW - Scooter/Moped,Median,,,,,,,,,,,,
05-Sep-22,01:42 PM,2471,1587,MTW - Scooter/Moped,Median,DL 8 SBK 8760,,,,,,,,,,,
05-Sep-22,01:42 PM,2472,1588,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2473,1589,Tractor with Trailer,Pedestrian,DL 1LAC 1879,,,,,,,,,,,
05-Sep-22,01:42 PM,2474,1590,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2475,1591,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2476,1592,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2477,1593,MTW - Motorcycle Light,Unknown,,,,,,,,,,,,
05-Sep-22,01:42 PM,2478,1594,"Car - Van, Passenger",Two-Axle Medium Commercial Vehicle,DL 8CU 5355,,,,,,,,,,,
05-Sep-22,01:42 PM,2479,1594,Two-Axle Medium Commercial Vehicle,"Car - Van, Passenger",DL 1LP 8011,,,,,,,,,,,
05-Sep-22,01:42 PM,2480,1595,Three Wheeler - Goods,Two-Axle Medium Commercial Vehicle,DL 1LO 6736,,,,,,,,,,,
05-Sep-22,01:42 PM,2481,1595,Two-Axle Medium Commercial Vehicle,Three Wheeler - Goods,DL 1MA 1478,,,,,,,,,,,
05-Sep-22,01:42 PM,2482,1596,MTW - Scooter/Moped,Unknown,DL 8SBB 5924,,,,,,,,,,,
05-Sep-22,01:42 PM,2483,1596,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
05-Sep-22,01:42 PM,2484,1597,Two_Axle Heavy Commercial Vehicle,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2485,1598,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2486,1599,MTW - Scooter/Moped,Unknown,DL 11ST 8799,,,,,,,,,,,
05-Sep-22,01:42 PM,2487,1599,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
05-Sep-22,01:42 PM,2488,1600,MTW - Scooter/Moped,Unknown,DL 8SAE 1658,,,,,,,,,,,
05-Sep-22,01:42 PM,2489,1600,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
05-Sep-22,01:42 PM,2490,1601,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2491,1602,MTW - Motorcycle Light,MTW - Motorcycle Light,DL 4SBJ 4665,,,,,,,,,,,
05-Sep-22,01:42 PM,2492,1602,MTW - Motorcycle Light,MTW - Motorcycle Light,DL 8SW  0934,,,,,,,,,,,
05-Sep-22,01:42 PM,2493,1603,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2494,1604,E-rickshaw,"Car - Van, Commercial",DL 4ER 5888,,,,,,,,,,,
05-Sep-22,01:42 PM,2495,1604,"Car - Van, Commercial",Others,,,,,,,,,,,,
05-Sep-22,01:42 PM,2496,1605,MTW - Scooter/Moped,Two_Axle Heavy Commercial Vehicle,DL 8SCF 4085,,,,,,,,,,,
05-Sep-22,01:42 PM,2497,1605,Two_Axle Heavy Commercial Vehicle,MTW - Scooter/Moped,,,,,,,,,,,,
05-Sep-22,01:42 PM,2498,1606,"Car - Van, Passenger",Pedestrian,DL 10CL 2598,,,,,,,,,,,
05-Sep-22,01:42 PM,2499,1607,"Car - Jeep, Passenger",Two_Axle Heavy Commercial Vehicle,DL 2CAX 2933,,,,,,,,,,,
05-Sep-22,01:42 PM,2500,1607,Two_Axle Heavy Commercial Vehicle,"Car - Jeep, Passenger",HR 55X 0426,,,,,,,,,,,
05-Sep-22,01:42 PM,2501,1608,MTW - Motorcycle Light,Unknown,DL 11SS 5551,,,,,,,,,,,
05-Sep-22,01:42 PM,2502,1608,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
